formation,"quels enseignements, absents de votre formation, vous auraient ete utiles ?"
Materiaux (MAT),Il faudrait un enseignement qui permette de mieux se familiariser avec les procedes de fabrication et les aspects normatifs. 
Microelectronique Et Automatique (MEA),Admin reseau (utilisation de wireshark ou autres outils telecom) Utilisation de git 
Systemes Embarques (SE - apprentissage),NSP
Genie Biologique et Agroalimentaires (GBA),Des cours sur SAP pour tous les etudiants
Sciences et Technologies de l'Eau (STE),Genie civil / Geotechnique. Un peu plus de modelisation sur des logiciels libres de droit (Hec-RAS Telemac ...).
Mecanique et Interactions (MI),C'est tres specifique  ce que je fais finalement mais des cours sur les milieux granulaires la tribologie.
Materiaux (MAT),.
Materiaux (MAT),-
Materiaux (MAT),Ingenierie industrielle
Materiaux (MAT),Conception assistee par ordinateur
Materiaux (MAT),Travaillant dans les normes environnementales j'ai pu voir  quel point celles-ci sont faAonnees non pas par une urgence ecologique globale mais bien par le lobbyisme omnipresent qui les rend toujours moins restrictives que ce qu'elles devraient Itre. Le fait d'avoir suivi une formation tres axee sur la reduction de l'impact environnemental des activites humaines (ACV ecoconception polymeres biosources et biodegradables recyclabilite du verres energies etc.) et decouvrir que pour beaucoup d'entreprises la finalite de toute action reste le profit aux depends du reste (ce qui induit notamment le greenwashing les fausses initiatives 'vertes') et particulierement de l'humain ou de l'ecologie est deconcertant. C'est le seul point qui ai ete insuffisamment aborde lors de notre formation  mon sens.
Materiaux (MAT),Soudage
Microelectronique Et Automatique (MEA),Je sais pas
Mecanique et Interactions (MI),Des cours sur l'ethique dans le travail (prise en compte de l'environnement comprendre les impactes de nos recherches et leurs possibles applications...)
Microelectronique Et Automatique (MEA),le dev
Microelectronique Et Automatique (MEA),Architecture de logiciels et toutes les methodes associees. Je m'interesse beaucoup  l'architecture et je pense que je ne suis pas le seul parmi les MEA mais je ne sais pas vraiment comment m'y prendre et personne pour m'apprendre. Je finirai bien par trouver mais du coup partir de quelques bases serait un plus.
Microelectronique Et Automatique (MEA),Utilisation de Git
Sciences et Technologies de l'Eau (STE),Je ne sais pas retour d'experience pas assez developpe 
Mecanique et Interactions (MI),AperAu structurel d'une entreprise ==> Sous traitance...
Microelectronique Et Automatique (MEA),Apprentissage du python
Genie Biologique et Agroalimentaires (GBA),Aucun je considere que la formation nous a appris  Itre polyvalents et autonomes  savoir chercher une information si elle nous manque. A ne pas se contenter de ce que l'on nous a appris et  developper ses competences en fonction des projets qui sont sous notre responsabilite
Genie Biologique et Agroalimentaires (GBA),Un autre langage de programmation. Plus de cours sur la fabrication des aliments d'un point de vue production et machines.
Genie Biologique et Agroalimentaires (GBA),Utilisation SAP creation de MACRO sur Excel...
Genie Biologique et Agroalimentaires (GBA),-
Genie Biologique et Agroalimentaires (GBA),Gestion de personnes
Genie Biologique et Agroalimentaires (GBA),J'ai change de voie professionnelle. Je travaille dans la communication et le marketing. Je ne peux donc pas repondre  cette question.
Materiaux (MAT),Il faudrait une vision plus industrielle seul le cute recherche n'aide pas pour l'emploi.
Materiaux (MAT),Un enseignement qui permettrait de connaOtre davantage les contraintes administratives qu'engendrent la signature d'un contrat de travail (et tout ce qui est en relation). Des activites plus concretes (process industriel sur AutoCAD modelisation 3D/CAO etude du marche industriel selon les differents secteurs d'activites ..). 
Microelectronique Et Automatique (MEA),programmation C#
Genie Biologique et Agroalimentaires (GBA),Stage obligatoire en usine 
Genie Biologique et Agroalimentaires (GBA),- Cours de comptabilite de financement de fiscalite
Genie Biologique et Agroalimentaires (GBA),Formation Excel poussee 
Informatique et Gestion (IG),La methode agile / Les notions de serverless / Introduction  l'elasticsearch
Informatique et Gestion (IG),Industrialisation de projets informatiques (Jenkins Docker Kubernetes CI/CD etc)
Informatique et Gestion (IG),Niveau eleve sur un langage particulier
Sciences et Technologies de l'Eau (STE),Management d'equipe
Microelectronique Et Automatique (MEA),Python Linux
Informatique et Gestion (IG),- Gestion de projet analyse fonctionnelle et un approfondissement des methodologies projet  utilisees en entreprise (SCRUM Kanban etc...)
Genie Biologique et Agroalimentaires (GBA),-Dessin Assistee par Ordinateur -Management des equipes. Nous avons eu des cours de communication mais manager une equipe c'est autre chose. Aa requiert certains qualites et capacites que Polytech n'apprend pas. 
Genie Biologique et Agroalimentaires (GBA),Aucun
Genie Biologique et Agroalimentaires (GBA),Outils d'organisation et planification du travail Outils commerciaux (methodes de negociation de vente) qui servent mIme dans les metiers techniques
Materiaux (MAT),CAO (TP/projets sur CATIA/Solidworks) Fabrication additive (enseignement avance en option ?) Initiation aux logiciels ERP
Systemes Embarques (SE - apprentissage),Marketing communication 
Genie Biologique et Agroalimentaires (GBA),Formation  l'audit 
Genie Biologique et Agroalimentaires (GBA),/
Materiaux (MAT),Des cours specifiques (trop specifiques pour une formation Materiaux generaliste) sur le fonctionnement des filtres frequences et de differents composants electroniques.
Materiaux (MAT),Solidworks 
Sciences et Technologies de l'Eau (STE),On pourrais toujours proposer de rajouter des sujets d'enseignements. Je pense qu'il est important de prendre en compte qu'actuellement les sujets vus pendant la formation sont bien presentes et permettent de se diriger vers de nombreux postes. Je trouve que la formation proposee aujourd'hui est de bonne qualite et qu.il est important qu'elle le reste.
Eau et Genie Civil (EGC - apprentissage),Methodologie de chantier Sophrologie Cours de negociation commerciale
Eau et Genie Civil (EGC - apprentissage),Plus d'organisation de chantier 
Eau et Genie Civil (EGC - apprentissage),Gestion / creation d'entreprise
Sciences et Technologies de l'Eau (STE),peut-Itre apprentissage du SQL...
Informatique et Gestion (IG),Developpement de l'esprit critique sur les choix technologique
Mecanique et Interactions (MI),Experience en atelier de mecanique
Sciences et Technologies de l'Eau (STE),Management des Hommes
Sciences et Technologies de l'Eau (STE),Code des marches publics
Informatique et Gestion (IG),faAon de fonctionner de grand equipe
Informatique et Gestion (IG),Globalement y avait  peu pres tout.
Microelectronique Et Automatique (MEA),Une initiation aux plateformes et aux methodes de travail collaboratif.
Sciences et Technologies de l'Eau (STE),La formation comporte 3h de genie civil. J'ai hesite entre en parler dans la partie 'enseignements qui meriteraient d'Itre approfondis' et 'enseignements absents'. Entre 3h et rien la difference est tres faible...
Sciences et Technologies de l'Eau (STE),-
Informatique et Gestion (IG),Pousser le cute gestion en ajoutant des cours lies  la finance (finance de marche notamment)
Sciences et Technologies de l'Eau (STE),Cours sur la construction du projet professionnel la plupart du temps les etudiants ne determinent ce qu'ils souhaitent faire qu'en fonction de leur stage de fin d'etude.   
Informatique et Gestion (IG),cours de finance
Informatique et Gestion (IG),La cyber securite 
Informatique et Gestion (IG),L'enseignement des ETL (en general pas d'ETL en particulier)
Materiaux (MAT),Apprendre  gerer une equipe
Materiaux (MAT),Un enseignements sur le bois m'aurait ete vaguement utile mais m'aurait beaucoup interesse 
Materiaux (MAT),Formation Excel
Materiaux (MAT),Outils de Cao (solidworks catia) 
Materiaux (MAT),Design (conception mecanique)
Materiaux (MAT),Commerce
Genie Biologique et Agroalimentaires (GBA),La decouverte des metiers de l'ingenieur (Au sein d'une industrie et dans d'autres cadres egalement)
Systemes Embarques (SE - apprentissage),-Calcul de la duree de vie d'un produit :  -> MTBF -> anticipation possible  -Normes et reglementations en vigueurs surtout apporter des notions : -> IPC (IPC 2221 et 2222 standards pour le dev electronique et eventuellement A-610 pour l'assemblage) -> ISO (autour des plans de fabrication car bien normes et important) -> NF (par nationalisme :p)  -Le retro-engineering est aussi pas mal interessant
Materiaux (MAT),Le comportement dynamique des materiaux et l'influence de la vitesse de chargement sur les proprietes mecaniques. MAIS : c'est un sujet tres pointu avec peu de Masters en France qui offrent des cours dessus on peut apprendre relativement vite pour peu qu'on lise un ouvrage dedie hormis en poursuite d'etudes (these) ou des emplois tres precis (en balistique) cela ne servira sans doute qu' tres peu d'etudiants.
Microelectronique Et Automatique (MEA),Methode Agile
Materiaux (MAT),Communication  Outils de resolution de probleme Des courts davantage axes sur l'industrie en general et le fonctionnement d'une entreprise
Genie Biologique et Agroalimentaires (GBA),Je ne sais pas
Sciences et Technologies de l'Eau (STE),Systemes d'information geographique
Mecanique et Interactions (MI),La soi-disant specialite biomecanique qui n'a pas ete dispense pour promo 2017
Mecanique et Interactions (MI),Venant de PEIP j'ai un deficit de connaissances en CAO. Quelques TP m'ont permis de decouvrir mais je ne serai pas capable de dessiner un gabarit sans avoir une reflexion sur la methodologie  adopter pour y arriver. Quelques connaissances pratiques de montage type arbre/alesage taraudage etc (connaissances de GMP finalement) me seraient utiles mIme si avec un GDI et un peu de temps on y arrive facilement.
Mecanique et Interactions (MI),Enfore une fois difficile  dire vu que je ne suis pas en situation.  Selon moi ce qu'il manque c'est un logiciel plus  industriela concernant la MEF des le debut.
Systemes Embarques (SE - apprentissage),Relations clients
Systemes Embarques (SE - apprentissage),Ajout d'une thematique sur les Batteries on est en systemes EMBARQU...S ! ! ! ! !
Sciences et Technologies de l'Eau (STE),Management de projet avec aspects financiers
Systemes Embarques (SE - apprentissage),Langages scripts Developpement c#
Genie Biologique et Agroalimentaires (GBA),Management humain 
Informatique et Gestion (IG), 
Mecanique Structures Industrielles (MSI - apprentissage),Conception mecanique !!!!! Chimie Algorithmique
Mecanique Structures Industrielles (MSI - apprentissage),Formation sur des logiciels de CAO/FAO 
Mecanique Structures Industrielles (MSI - apprentissage),Des enseignements lies au chiffrage et  la maOtrise de la main d'&oeliguvre 
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Mecanique Structures Industrielles (MSI - apprentissage),Juridique 
Materiaux (MAT), 
Informatique et Gestion (IG),Psychology du client
Informatique et Gestion (IG),aucune
Mecanique Structures Industrielles (MSI - apprentissage),python
Mecanique Structures Industrielles (MSI - apprentissage),Plus de travaux pratique en atelier (on est situe  NOmes pour avoir acces  l'atelier mais on a pas le droit de l'utiliser...)
Mecanique Structures Industrielles (MSI - apprentissage),Entrepreneuriat / Creation d'entreprise  Design   
Informatique et Gestion (IG),Aucun
Materiaux (MAT),L'intelligence emotionnelle.
Informatique et Gestion (IG),Je dois quotidiennement mesurer l'impact financier et les ressources necessaires pour un projet. Cela a ete difficile durant mes premiers mois de stage. De plus mettre en relation un project information avec le chiffre d'affaires que celui-ci peut genere m'etais inconnu
Materiaux (MAT),Apporter une meilleure connaissance sur le fonctionnent global d'une entreprise en presentant les differents services et metiers envisageables dans ma filiere.
