formation,annee obtention du diplome,vos remarques et commentaires relatifs a votre insertion professionnelle
Microelectronique Et Automatique (MEA),2017,Tres bonne ambiance. Grande entraide entre collegue.  Beaucoup de fun tout en restant un minimum professionnel.
Microelectronique Et Automatique (MEA),2017,La formation MEA apprend  apprendre. Ne pas s'en faire si au debut les competences sont un peu faibles il y a moyen de se former sur le tas mime avec quelques lacunes (surtout vrai pour un emploi dans une grosse structure)
Sciences et Technologies de l'Eau (STE),2017,Un soutien des professeurs est necessaire pour les stages car dans mon cas il ne m'a pas ete dit clairement que mon stage n'etait pas adapte et on me l'a reproche par la suite... je suis malgre tout contente de mon experience qui m'a permis de decouvrir bien plus que certains autres stages  Mon insertion professionnelle ne ressemble pas  celle qui devrait itre suite  la formation donc je ne suis pas vraiment un bon exemple. Les axes transversaux etudies m'ont cependant ete utile dans les differents emplois que j'ai occupe cette derniere annee. 
Mecanique et Interactions (MI),2018,Aucun interit pour la plateforme Poly+ non fonctionnelle et pas  jour  Beaucoup de pression de la part des professeurs pour trouver un stage alors que ce n'est pas si complique... (Mais je comprends qu'il faille motiver certains eleves)  
Genie Biologique et Agroalimentaires (GBA),2017,Neant 
Genie Biologique et Agroalimentaires (GBA),2017,-
Genie Biologique et Agroalimentaires (GBA),2017,J'ai change de voie professionnelle. Je ne peux donc pas repondre  cette question.
Materiaux (MAT),2018,Maintenant il est facile de s'inserer grce  la prestation (malheureusement). Une embauche chez un industriel directement est complique. 
Materiaux (MAT),2017,Je pense que l'apprentissage et le contrat de professionnalisation sont des voies  privilegier pour tous les etudiants souhaitant evoluer dans un milieu professionnel prive  la suite de ses etudes. Cela permet d'apprehender de la meilleure des faAons ce monde particulier qui ne ressemble en rien au monde de l'education.
Genie Biologique et Agroalimentaires (GBA),2018,Je suis ravie d'avoir integree le groupe Danone apres mes etudes. C'est une entreprise qui me permettra d'evoluer et qui m'apporte beaucoup   
Informatique et Gestion (IG),2019,J'ai rejoins mon entreprise en stage de fin d'etudes et j'ai continue en CDI. Je n'ai pas connu de difficultes dans ma recherche si ce n'est choisir la bonne offre. J'ai finalement selectionne l'entreprise qui a la culture d'entreprise qui me correspond le plus. Elle promet notamment  ses collaborateurs 'd'accelerer sa carriere' en offrant des opportunites hors mission (participer  des salons ecrire des articles organiser des meet up et plus..). Concernant ma formation  Polytech je pense que le departement Informatique et Gestion est sur la bonne voie et en phase avec le marche actuel compare  plusieurs autres formations qui stagnent. En effet l'informatique est un domaine en constante evolution : des technologies peuvent devenir obsoletes en quelques mois des nouveaux dogmes surgissent constamment. C'est pour cela qu'il faut une ecole qui soit capable d'une part d'enseigner des bases puis de mettre en place des outils pour developper les softs skills de ses etudiants. Depuis le debut de ma vie active j'ai tres peu utilise les competences 'hard' apprises en IG en revanche mes competences de gestions de projets d'autoformation de travail en equipe ont ete acquises de faAon transverse grce au programme d'IG.  Pour finir s'il faut vraiment mettre l'accent sur un axe d'amelioration : donner davantage d'opportunites pour developper ses softs skills. 
Informatique et Gestion (IG),2018,Il n'y a aucune raison d'avoir des difficultes  trouver un emploi qui nous correspond si l'on sait montrer sa motivation et son intiret pour l'entreprise que l'on souhaite rejoindre surtout dans notre domaine !
Informatique et Gestion (IG),2017,je cherchais une pme car je n'avais pas envie d'itre dans un grand groupe au final j'ai eu ce que je voulais  ce que recherchais c'est une entreprise o  je peux facilement m'entretenir avec les autres services et la direction sans avoir  passer par pleins d'intermediaire apres je ne sais pas si je vais continuer longtemps  travailler dans des pme.
Sciences et Technologies de l'Eau (STE),2017,La formation STE m'a largement donne le bagage necessaire  l'occupation de mon emploi actuel.
Microelectronique Et Automatique (MEA),2018,Le background Polytech MEA m'a permis de m'adapter tres facilement  de nouveaux domaines tels que l'IA. C'est une tres bonne formation qui ouvre  une grande diversite de secteurs.
Genie Biologique et Agroalimentaires (GBA),2018,Tant qu'on travaille dur et qu'on respecte ses collaborateurs tout se passe toujours bien. 
Genie Biologique et Agroalimentaires (GBA),2019,Aucune
Genie Biologique et Agroalimentaires (GBA),2017,Mon insertion professionnelle s'est bien passee grce au contrat pro et grce au suivi par des professeurs en mime temps que le contrat pro (merci Mme Preziosi !).
Genie Biologique et Agroalimentaires (GBA),2019,/
Materiaux (MAT),2019,Mon insertion dans le monde professionnel a ete quelque peu retarde par des soucis administratifs lies avec la these. Toutefois avec de la patience tout est rentre dans l'ordre et j'ai pu debuter ma these dans les meilleures conditions. J'ai la chance de travailler sur 3 sites differents ce qui me permet de cutoyer de nombreuses personnes et de diversifier mes activites.
Materiaux (MAT),2019,Complique car j'ai fait un stage dans un domaine tres specifique ce qui m'a complique la vie apres pour trouver un premier emploi dans un autre domaine! Maintenant j'ai trouve mais j'ai mis quasiment 6 mois ce qui peut itre complique  expliquer apres sur un CV.
Sciences et Technologies de l'Eau (STE),2017,Le reseau est tres important il ne faut pas le sous estimer. Plus qu' un poste j'ai l'impression qu'il est plus important de penser au rythme de vie que l'on veut.
Eau et Genie Civil (EGC - apprentissage),2018,...couter votre intuition ne vous fermer pas de portes 
Eau et Genie Civil (EGC - apprentissage),2019,Il y a 3 ans je connaissais mime pas les TP j'avais aucune idee de ce en quoi consistait un chantier aujourd'hui j'ai de grosses responsabilites et j'avoue avoir beaucoup de pression au quotidien mais le metier est passionnant. Dans les travaux (l'exploitation) j'ai appris la partie terrain technique commerciale relationnelle financiere sociale management et c'est Aa qui est vraiment interessant de toucher  tout. AVEC LA MOTIVATION ON PEUT REUSSIR DE GRANDES CHOSES
Informatique et Gestion (IG),2019,Polyvalence importante ouverture d'esprit sur les technos regard critique.
Sciences et Technologies de l'Eau (STE),2019,Montrer sa motivation pendant le stage se faire des contacts
Sciences et Technologies de l'Eau (STE),2019,Tres bonne insertion professionnelle j'ai eu le choix entre 3 entreprises qui m'acceptait. J'ai choisi la plus renommee 
Microelectronique Et Automatique (MEA),2019,Dans le domaine de l'embarque aucune difficulte  trouver un emploi le diplume est bien vu on sent une confiance. Il y mime plus de demandes que de developpeurs dans des villes comme Toulouse. On se fait tres vite approcher par toutes les societes de services de l'Occitanie. Peut itre qu'il faudrait avoir un enseignement plus important dans la preparation et l'entrainement aux entretiens d'embauche. En 4eme annee les eleves n'ont pas envie de se porter volontaire pour faire partir des 3 ou 4 eleves  simuler un entretien avec le professeur d'insertion. Mais cela devrait itre obligatoire pour tous afin de savoir un minimum  quoi s'attendre une fois dans un vrai entretien.
Sciences et Technologies de l'Eau (STE),2019,-
Sciences et Technologies de l'Eau (STE),2019,Assez difficile dans le domaine de l'hydraulique de trouver un travail sans experience. 
Informatique et Gestion (IG),2019,Ma formation  Polytech me permet d'itre tres autonome dans la formation que j'entreprends actuellement. 
Materiaux (MAT),2018,Voir reponse precedent
Materiaux (MAT),2017,/
Materiaux (MAT),2018,Ne pas avoir peur de se lancer.
Genie Biologique et Agroalimentaires (GBA),2019,La presentation des metiers de l'ingenieur des differents services d'une entreprise et du rule de chacun devrait itre faite des la 1ere annee afin de permettre aux eleves de se projeter et de mieux apprehender la difficulte de l'enseignement Theorique. Cela aiderait beaucoup egalement au choix des stages.
Materiaux (MAT),2017,/
Sciences et Technologies de l'Eau (STE),2018,Au cours de ma formation j'ai choisi de m'orienter vers le developpement international et/ou humanitaire (toujours dans le domaine de l'eau). Je ne me suis pas sentie encouragee par le departement STE au contraire. Je trouve dommage que le departement ne soutienne pas les etudiants qui veulent s'orienter vers une carriere  l'internationale.
Materiaux (MAT),2018,Aujourd'hui les enseignements materiaux que j'ai reAu  l'ecole sont un plus  ma culture. Mais les competences qui me sont necessaires au quotidien  mon poste sont l'autonomie le sens d'analyse et la synthese de resultats.
Sciences et Technologies de l'Eau (STE),2017,-
Sciences et Technologies de l'Eau (STE),2017,Les methodes de travail permettent une bonne adaptation dans le monde professionnel (projets en equipe etudes...) 
Mecanique et Interactions (MI),2017,Chaotique car je ne savais pas vraiment. Je me felicite tous les jours d'avoir eu le courage de reviser rattraper mes lacunes techniques du au manque de motivation general lors de la formation et de me lancer dans une these.   La formation gagnerait beaucoup en echangeant certaines UE contre des experiences professionelles supplementaires mime courtes. Peut itre laisser un choix aux etudiants sur ces UE  suivre justement pour qu'ils se posent les bonnes questions ?  
Mecanique et Interactions (MI),2018,La formation MI est tres interessante et complete pour pouvoir parler de beaucoup de problematiques mecaniques. Je suis tres heureux de l'avoir comme base de ma specialite soudure j'ai impression d'itre un ingenieur complet qui ne parle pas uniquement de sa specialite.
Sciences et Technologies de l'Eau (STE),2019,Il faut perseverer et montrer sa motivation. L'important est de montrer qu'on a envie d'apprendre car c'est cela qui est le plus important. Le bagage theorique appris  l'ecole est important mais ne suffit pas pour bien s'integrer dans le monde professionnelle.
Mecanique et Interactions (MI),2019,Rien  repondre.
Systemes Embarques (SE - apprentissage),2019,J'ai ete embauche 3mois avant de finir mon diplume merci l'apprentissage.   Les cours d'insertion pro avec CV/lettre de motivation sont utiles.
Sciences et Technologies de l'Eau (STE),2018,Bonne formation dans l'ensemble qui sensibilise sur plusieurs aspects lies  la thematique de l'eau. Je pense cependant qu'il y a une grosse lacune dans la formation aux logiciels notamment SIG ou de modelisation hydraulique.  Concernant les langues egalement les cours ne sont pas optimises il faudrait faire plus d'heures avec beaucoup plus de d'echanges plutut que du bachotage pour le TOEIC.  Le PIFE est un bon exercice je le vois comme une transition entre l'ecole et le stage qui permet de se mettre en condition de vie pro. Des TPS de genie de procedes trop longs. Les visites de chantiers sont clairement un plus dans la formation mais il faudrait voir par exemple une STEP des la 3A. Des professeurs disponibles et  l'ecoute.   
